From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),AT (degree C)
2022-08-22 15:00:00,29.35,59.21,4.97,13.78,18.75,27.77503817202344,12.562969638194955,1.45,23.0,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-22 16:00:00,28.92,59.67,5.03,13.77,18.8,27.77503817202344,12.562969638194955,1.44,48.01,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-23 08:00:00,26.81,51.86,4.98,13.78,18.76,27.77503817202344,12.562969638194955,1.43,54.0,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-23 09:00:00,37.18,65.02,5.02,13.72,18.74,27.77503817202344,12.562969638194955,1.43,47.85,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-23 10:00:00,33.23,72.83,5.0,13.74,18.73,27.77503817202344,12.562969638194955,1.45,45.44,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-23 11:00:00,35.45,98.17,6.11,20.92,27.03,27.77503817202344,12.562969638194955,1.44,83.05,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-23 12:00:00,30.2,79.07,6.51,19.41,25.92,27.77503817202344,12.562969638194955,1.44,45.09,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-23 13:00:00,37.71,84.68,6.38,18.18,24.56,27.77503817202344,12.562969638194955,1.43,38.35,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-23 14:00:00,40.69,58.08,6.46,17.77,24.23,27.77503817202344,12.562969638194955,1.43,30.22,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-23 15:00:00,31.09,64.56,6.28,17.46,23.74,27.77503817202344,12.562969638194955,1.42,22.0,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-23 16:00:00,22.57,49.16,6.66,17.0,23.66,27.77503817202344,12.562969638194955,1.43,22.2,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2022-08-24 08:00:00,10.94,33.11,9.03,15.83,24.86,27.77503817202344,12.562969638194955,1.51,23.7,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
